ID,Index,Name,Category,Retailer,Price,Current Gender,Current Age Bands,Interest Tags
"cmu5jmsvi00y7ksb0xkxx91p7",1,"Spot's First Little Library","Children","My 1st Years",6,"UNISEX","18+",""
"cmu5jmtf300yaksb0cfao7hui",2,"Montessori Stacking Toy Wooden Blocks","Children","Get Kidzly",14.98,"UNISEX","18+",""
"cmu5jmtyn00ydksb06tb01n05",3,"Happy Veggies Wooden Puzzle","Children","Sense Nest",17.99,"UNISEX","18+",""
"cmu5jmu8j00yfksb0mh0jopdm",4,"Personalised Bedtime For You Book","Children","Wonderbly",19.99,"UNISEX","18+",""
"cmu5jmuiq00yhksb0fpjr3802",5,"Peanut Penguin","Children","Official Jellycat Store",25,"UNISEX","18+",""
"cmu5jmuso00yjksb0tgev48gn",6,"Steiff Soft Cuddly Friends My First Hoppie Rabbit","Children","John Lewis",29.9,"UNISEX","18+",""
"cmu5jmvcc00ymksb0d7axtm8z",7,"Gaby Bath Toys","Children","Westwing",29.99,"UNISEX","18+",""
"cmu5jmvw300ypksb0cnbl0kot",8,"DreamHaven Canvas Play Teepee","Children","Cuddleberry",34.9,"FEMALE","18+",""
"cmu5jmwfy00ysksb0yw4eqo8b",9,"LEGO DUPLO 10914 Deluxe Brick Box Classic Building Bricks Set","Children","Smyths Toys",38.99,"MALE","18+",""
"cmu5jmx9k00yvksb0838zl7n1",10,"Janod Tropik - Multi Activity Trolley","Children","Hello Baby",72.99,"MALE","18+",""
"cmu5jmxjo00yxksb0bx2t6qf7",11,"Mini 3in1 Deluxe Ride On Scooter, Blue","Children","John Lewis",109.95,"UNISEX","18+",""
"cmu5jmy3i00z0ksb02g03u26j",12,"Petit Collage Carry Along Kitten Sketch Book Set","Children","Crafts 4 Kids",12.99,"UNISEX","18+",""
"cmu5jmynj00z3ksb0d8qixk27",13,"Farm Yard Tales Craft Kit","Children","Jacques",13.99,"UNISEX","18+",""
"cmu5jmyxh00z5ksb0sntqd5ai",14,"Kids Space Hopper - Super Heroes","Children","Crafts 4 Kids",16.5,"UNISEX","18+",""
"cmu5jmz7h00z7ksb0j907a8z8",15,"Educational Wooden Games - Djeco Crococroc","Children","Crafts 4 Kids",17.25,"UNISEX","18+",""
"cmu5jmzhh00z9ksb0n04k5tmd",16,"Jungle Dough Sensory Kids Craft Kit","Children","Crafts 4 Kids",19.95,"UNISEX","18+",""
"cmu5jmzrl00zbksb0uiddevai",17,"Hot Wheels Monster Trucks 1:64 Trophy Champions Collection","Children","Smyths Toys",23.99,"MALE","18+",""
"cmu5jn01j00zdksb09f1vom82",18,"Pup Squad Racers Gift Set","Children","John Lewis",24.99,"MALE","18+",""
"cmu5jn0bg00zfksb0ckeeh8l7",19,"Super Mario Deluxe Bowser's Airship Playset","Children","Smyths Toys",29.99,"MALE","18+",""
"cmu5jn0v500ziksb0dbyzi8h8",20,"Montessori Colour Puzzle with Challenge Cards","Children","Jackie's Kids",34.9,"UNISEX","18+",""
"cmu5jn1f300zlksb0c3lwqjn8",21,"Hot Wheels City Hot Wheels Ultimate Dual Dragon Transporter and Cars Playset","Children","The Entertainer",39,"MALE","18+",""
"cmu5jn1z200zoksb0vkdsdlqo",22,"LEGO® DUPLO® 10459 Bluey: Bluey’s Family House","Children","Frasers",42,"UNISEX","18+",""
"cmu5jn29100zqksb0ki4ggxeh",23,"Brio World Animal Farm Wooden Train Set, FSC-Certified","Children","John Lewis",74.99,"MALE","18+",""
