ID,Index,Name,Category,Retailer,Price,Current Gender,Current Age Bands,Age Restricted,Interest Tags
"cmu5bz8tn0002ksb0uh7gdzgx",1,"Cole Mason Clavering Granite Pestle & Mortar","Food & Drink > Cooking & Food","Borough Kitchen",39,"UNISEX","18+",false,""
"cmu5bz9c00004ksb0mf9x6j1n",2,"The Taste of Fortnum's Hamper","Food & Drink > Cooking & Food","fortnumandmason.com",75,"UNISEX","18+",false,""
"cmu5bz9l70006ksb0p21hrcg0",3,"Larousse Gastro by Prosper Montagné","Food & Drink > Cooking & Food","fortnumandmason.com",76,"UNISEX","18+",false,""
"cmu5bz9uf0008ksb058qa04ur",4,"Borough Kitchen Chopping Board Set of 3 / Black","Food & Drink > Cooking & Food","Borough Kitchen",99,"UNISEX","18+",false,""
"cmu5bzacw000bksb0hsw1dij2",5,"Pasta Evangelists Cookery Class with Bottomless Prosecco for Two at the Pasta Academy","Food & Drink > Cooking & Food","buyagift",136.99,"UNISEX","18+",false,""
"cmu5bzavb000eksb0xpeuyozu",6,"Plant Based Masterclass in a Michelin Starred Restaurant","Food & Drink > Cooking & Food","Class Bento",165,"UNISEX","18+",false,""
"cmu5bzb4j000gksb04um19t00",7,"Kai Shun Premier Chef & Utility Knife Set","Food & Drink > Cooking & Food","Borough Kitchen",299,"UNISEX","18+",false,""
"cmu5bzbn3000jksb00j8vweak",8,"OoniKoda 12 Gas Fuel Portable Outdoor Pizza Oven","Food & Drink > Cooking & Food","John Lewis",299,"UNISEX","18+",false,""
"cmu5bzc5m000mksb08vyu49lu",9,"Cook and Dine: Beef Wellington masterclass for two","Food & Drink > Cooking & Food","Gordon Ramsay Academy",350,"UNISEX","18+",false,""
"cmu5bzco6000pksb0mtphku2r",10,"Vitamix Ascent A3500i Blender and Accessories Bundle","Food & Drink > Cooking & Food","Harrods",899,"UNISEX","18+",false,""
"cmu5bzcxf000rksb00m75ynfk",11,"Big Green Egg Mini-Max with Foldable Stand","Food & Drink > Cooking & Food","Borough Kitchen",1115,"UNISEX","18+",false,""
"cmu5bzdga000uksb0uzi8x6mj",12,"Coravin Model Six+ Hermitage Red Limited Edition","Food & Drink > Wines, beers & drinks","The Waterside Inn",299.99,"UNISEX","18+",false,""
"cmu5bzdyp000xksb07m7weu30",13,"Biddenden Vineyard's Private Guided Tour (per person)","Food & Drink > Wine, beer & drinks","Biddenden",48,"UNISEX","18+",false,""
"cmu5bzeh30010ksb009sc0u02",14,"BERNADOTTE Wine Opener - Design Inspired by Sigvard Bernadotte","Food & Drink > Wine, beer & drinks","Georg Jensen",49,"UNISEX","18+",false,""
"cmu5bzeq90012ksb03obg1spn",15,"Multi-Sensory Lab Wine Tasting Experience","Food & Drink > Wine, beer & drinks","Class Bento",65,"UNISEX","18+",false,""
"cmu5bzezh0014ksb0psmebggb",16,"Swan Red Wine Decanter","Food & Drink > Wine, beer & drinks","Borough Kitchen",79,"UNISEX","18+",false,""
"cmu5bzfhu0017ksb0mcg26vk0",17,"Clapton Craft 24 Pack of Beers","Food & Drink > Wine, beer & drinks","Clapton Craft",80,"UNISEX","18+",false,""
"cmu5bzg08001aksb066iomnco",18,"Whisky and Beer Pairing Masterclass for Two at Brewhouse and Kitchen","Food & Drink > Wine, beer & drinks","Virgin Experience",82.5,"UNISEX","18+",false,""
"cmu5bzgip001dksb051tieeqs",19,"Bordeau Masters: Margaux and Pomerol","Food & Drink > Wine, beer & drinks","Perfect Cellar",88.39,"UNISEX","18+",false,""
"cmu5bzh14001gksb0wwea65md",20,"Wine Bestsellers Mix","Food & Drink > Wine, beer & drinks","Laithwaites",95.88,"UNISEX","18+",false,""
"cmu5bzhjk001jksb03pmwcfjs",21,"Young wine carafe 25,4oz - 25,4o","Food & Drink > Wine, beer & drinks","Peugeot",99.99,"UNISEX","18+",false,""
"cmu5bzhsq001lksb02qb5z1dl",22,"Zalto Burgundy Wine Glasses / Set of 2","Food & Drink > Wine, beer & drinks","Borough Kitchen",105,"UNISEX","18+",false,""
"cmu5bzikg001oksb0s0ouqq2d",23,"Fizzics DraftPour Beer Dispenser","Food & Drink > Wine, beer & drinks","Lakeland",109.99,"UNISEX","18+",false,""
"cmu5bzj2x001rksb0zni86euv",24,"L'Atelier du Vin, Oeno Motion, Corkscrew Gift Box, Chrome & Wood","Food & Drink > Wine, beer & drinks","David Shuttle",119,"UNISEX","18+",false,""
"cmu5bzjlb001uksb0wro9fny1",25,"Estate Tour with lunch","Food & Drink > Wine, beer & drinks","Gusbourne",120,"UNISEX","18+",false,""
"cmu5bzk3s001xksb0raezcdka",26,"Veuve Clicquot Yellow Label Magnum 150cl - In Black Gift Box","Food & Drink > Wine, beer & drinks","The Champagne and Gift Company",140,"UNISEX","18+",false,""
"cmu5bzkcy001zksb0i88gi5qk",27,"Six-Month Six-Pack Craft Beer Club Subscription from Best of British Beer","Food & Drink > Wine, beer & drinks","buyagift",149.99,"UNISEX","18+",false,""
"cmu5bzkvc0022ksb04nbpy62m",28,"Premium Drinks Cool Box","Food & Drink > Wine, beer & drinks","The Newt in Somerset",179,"UNISEX","18+",false,""
"cmu5bzldq0025ksb0q3elv9g5",29,"Barwell Cut Crystal Champagne Coupe, Set of Four","Food & Drink > Wine, beer & drinks","Soho Home",195,"UNISEX","18+",false,""
"cmu5bzlw50028ksb0m7eydblj",30,"Laguiole En Aubrac Sommelier Waiter's Corkscrew, Red Pakawood Handle, Wine Opener with Foil Cutter & Bottle Opener","Food & Drink > Wine, beer & drinks","Amazon",205,"UNISEX","18+",false,""
"cmu5bzmel002bksb0xdphatym",31,"6 x Lehmann Synergie 60cl Collection Signature P. Jamesse","Food & Drink > Wine, beer & drinks","Sip Champagnes",290,"UNISEX","18+",false,""
"cmu5bzmwz002eksb0j48por0i",32,"Matcha Tea Set","Food & Drink > Coffee & Tea","GRIND",40,"UNISEX","18+",false,""
"cmu5bznfc002hksb04oeostok",33,"ZENS Modern Glass Infuser Teapot, One Touch Tea Maker for Loose Leaf Tea with Insulated Mug and Portable Case. Enchanted Pot Alternatives for Tea Lover Gifts","Food & Drink > Coffee & Tea","Ubuy",40,"UNISEX","18+",false,""
"cmu5bznxq002kksb06yk7s2gr",34,"The Daily Ritual Hamper - Filter Grind","Food & Drink > Coffee & Tea","Bro Coffee",50,"UNISEX","18+",false,""
"cmu5bzog3002nksb071jnuf3e",35,"Titanium French Press","Food & Drink > Coffee & Tea","Snow Peak",53,"UNISEX","18+",false,""
"cmu5bzoyh002qksb0nvubxtzd",36,"Small coffee mug in ceramic","Food & Drink > Coffee & Tea","YSL",70,"UNISEX","18+",false,""
"cmu5bzpgw002tksb008hr8f3g",37,"Brew Cafetiere","Food & Drink > Coffee & Tea","Tom Dixon",90,"UNISEX","18+",false,""
"cmu5bzpzd002wksb0fovn344b",38,"Kusmi Tea","Food & Drink > Coffee & Tea","Selfridges",99.99,"UNISEX","18+",false,""
"cmu5bzq8t002yksb0okbnp03o",39,"Six Months of Grind Coffee - Whole Bean or Ground Coffee","Food & Drink > Coffee & Tea","buyagift",108,"UNISEX","18+",false,""
"cmu5bzqi50030ksb0frvob9zx",40,"BERNADOTTE Set: Teapot and Cups - Design Inspired by Sigvard Bernadotte","Food & Drink > Coffee & Tea","Georg Jensen",109,"UNISEX","18+",false,""
"cmu5bzrm60032ksb0gx8mfwie",41,"NEWBYx Matthew Williamson Trio Loose Leaf Tea Gift","Food & Drink > Coffee & Tea","Harrods",110,"UNISEX","18+",false,""
"cmu5bzs4m0035ksb0dyg19aq6",42,"The Rare Tea Gift Collection","Food & Drink > Coffee & Tea","Not On The High Street",124.99,"UNISEX","18+",false,""
"cmu5bzsmz0038ksb0vea06fe6",43,"Comandante C40 Nitro Blade Coffee Grinder MK4 (Black)","Food & Drink > Coffee & Tea","Comandante",249,"UNISEX","18+",false,""
"cmu5bzsw5003aksb023jpp3ef",44,"SageBarista Express Bean to Cup Coffee Machine, Brushed Stainless Steel","Food & Drink > Coffee & Tea","John Lewis",499.95,"UNISEX","18+",false,""
"cmu5bztei003dksb0hdynnnit",45,"Ultimate Bar Book","Food & Drink > Spirits & Cocktails","Blackwell's",14.99,"UNISEX","18+",false,""
"cmu5bzu5z003gksb0qzhj5s78",46,"GLAZER mini Classic Ice","Food & Drink > Spirits & Cocktails","Ori Future",23,"UNISEX","18+",false,""
"cmu5bzuoc003jksb0rf51u5q1",47,"Parisian Green and Gold Cocktail Shaker Set – 6 Piece","Food & Drink > Spirits & Cocktails","Vonhaus",24.99,"UNISEX","18+",false,""
"cmu5bzuxj003lksb0sa7xtss4",48,"Cocktail Ball Ice Cubes (Set of 2)","Food & Drink > Spirits & Cocktails","Harrods",25,"UNISEX","18+",false,""
"cmu5bzv6s003nksb0mw4kwgg1",49,"Riedel Bar Neat Glass x2","Food & Drink > Spirits & Cocktails","hedonism.co.uk",32.5,"UNISEX","18+",false,""
"cmu5bzvp7003qksb0pjikrjz2",50,"Riedel Gin Glasses x 4","Food & Drink > Spirits & Cocktails > Gin","art of living",35.95,"UNISEX","18+",false,""
"cmu5bzvyf003sksb08lmlrr3d",51,"Spiegelau Specialist Gin and Tonic Glass x 4","Food & Drink > Spirits & Cocktails > Gin","art of living",40,"UNISEX","18+",false,""
"cmu5bzwgt003vksb0qmjlpmi4",52,"The Rumbler Glass, x 2 - The Speciality Rum Glass","Food & Drink > Spirits & Cocktails > Rum","Dartington",50,"UNISEX","18+",false,""
"cmu5bzwq1003xksb0a2j6r2z8",53,"Whisky Blending Experience","Food & Drink > Spirits & Cocktails > Whisky","Class Bento",75,"UNISEX","18+",false,""
"cmu5bzx8v0040ksb0wtt778tl",54,"Rum Blending Experience","Food & Drink > Spirits & Cocktails > Rum","London Distillery School",95,"UNISEX","18+",false,""
"cmu5bzxr80043ksb0759ji9zm",55,"Appleton Estate 21 Year Old Rum","Food & Drink > Spirits & Cocktails > Rum","Whisky World",99.9,"UNISEX","18+",false,""
"cmu5bzy0f0045ksb0oyzcf5md",56,"Create your Own Gin at the Shakespeare Distillery Gin School with Tour and Tastings","Food & Drink > Spirits & Cocktails > Gin","Virgin Experience",107,"UNISEX","18+",false,""
"cmu5bzyiu0048ksb0od835556",57,"Cocktail Masterclass at Gordon Ramsay Restaurants","Food & Drink > Spirits & Cocktails","Gordon Ramsay",120,"UNISEX","18+",false,""
"cmu5bzys2004aksb0tp7ghq8y",58,"MAP Maison Japanese Whisky Tasting Masterclass for Two","Food & Drink > Spirits & Cocktails > Whisky","Virgin Experience",132,"UNISEX","18+",false,""
"cmu5bzz1o004cksb0elbwlndh",59,"Titanium Curved Flask","Food & Drink > Spirits & Cocktails","Snow Peak",140,"UNISEX","18+",false,""
"cmu5bzzk1004fksb0au6pqon2",60,"Bonpland Cuba Sancti Spiritus 1999 Rum","Food & Drink > Spirits & Cocktails > Whisky","Whisky Exchange",145,"UNISEX","18+",false,""
"cmu5c002f004iksb0ov9j308k",61,"Personalised Renfrew Whisky Decanter with Walnut Base","Food & Drink > Spirits & Cocktails > Whisky","Engravers Guild",175,"UNISEX","18+",false,""
"cmu5c00ku004lksb07c3qpgq5",62,"Private bespoke whisky tours","Food & Drink > Spirits & Cocktails > Whisky","Scotland's Wild",800,"UNISEX","18+",false,""
"cmu5c0137004oksb0deezkxt7",63,"Sweet Sleep Gift Box","Lifestyle & Wellbeing > Sustainability & eco living","Out of the Box Gifts",43,"FEMALE","18+",false,""
"cmu5c01lj004rksb085tgjp0s",64,"ReSpiin Recycled Wool Throw - 130cm x 170cm - Mulberry","Lifestyle & Wellbeing > Sustainability & eco living","Green Tulip",49,"UNISEX","18+",false,""
"cmu5c023w004uksb0vkec5cj6",65,"Luxury Beard Oil Gift Set","Lifestyle & Wellbeing > Beauty & skincare","Lord of the Beards",49,"MALE","18+",false,""
"cmu5c02m9004xksb0gkmu9jl7",66,"Men’s Skin Care Heroes","Lifestyle & Wellbeing > Sustainability & eco living","Green People",53,"MALE","18+",false,""
"cmu5c034n0050ksb0o9glib73",67,"Sustainable Non-Slip Jute Yoga Mat CompleteGrip™","Lifestyle & Wellbeing > Sustainability & eco living","Complete Unity Yoga",66.99,"UNISEX","18+",false,""
"cmu5c03n20053ksb0nu4ic103",68,"Men's Grooming Ritual","Lifestyle & Wellbeing > Sustainability & eco living","Ervaia",80,"MALE","18+",false,""
"cmu5c045f0056ksb0gjc46ma7",69,"The Lovat (one of the best green and sustainable hotels in the UK, dedicated to eco-friendly practices and carbon neutrality.)","Lifestyle & Wellbeing > Sustainability & eco living","The Lovat",100,"UNISEX","18+",false,""
"cmu5c04nu0059ksb0k4ljosi1",70,"Suri Electric Toothbrush (plant-based)","Lifestyle & Wellbeing > Sustainability & eco living","Suri",105,"UNISEX","18+",false,""
"cmu5c0567005cksb0q6fu0jxx",71,"MV Siren™ Muse Slim Cuff (recycled gold vermeil)","Lifestyle & Wellbeing > Jewellery","Monica Vinader",159,"FEMALE","18+",false,""
"cmu5c05ok005fksb0jo56r3wc",72,"Men's Portell Wool Fleece Jacket","Lifestyle & Wellbeing > Sustainability & eco living","Finisterre",195,"MALE","18+",false,""
"cmu5c06g4005iksb0b15yyyer",73,"The Banyan Wood Watch","Lifestyle & Wellbeing > Sustainability & eco living","Ziracle",299,"MALE","18+",false,""
"cmu5c06yk005lksb0oeu8hp9h",74,"Leather Home and Away Gift Set","Lifestyle & Wellbeing > Fashion & accessories","Paradise Row London",390,"UNISEX","18+",false,""
"cmu5c07gz005oksb0xcirnbsi",75,"Frosted Bracelet","Lifestyle & Wellbeing > Sustainability & eco living","La Maison Couture",495,"UNISEX","18+",false,""
"cmu5c07zh005rksb00ic1c2ez",76,"Beautiful Raw Selenite Crystal Wand Stick","Lifestyle & Wellbeing > Spirituality","Luxe Co",15,"UNISEX","18+",false,""
"cmu5c088n005tksb0upe8p8e1",77,"Mindful Affirmations","Lifestyle & Wellbeing > Spirituality","Healf",20.99,"UNISEX","18+",false,""
"cmu5c08r1005wksb0ynq6zzg6",78,"Inner Bloom (Sandalwood, Lavender) | Ume Premium Incense","Lifestyle & Wellbeing > Spirituality","Lotus Zen",25,"UNISEX","18+",false,""
