Row	Product ID	Name	Current	Corrected	Reasoning
2636	cmu3qqwnp06s3tcod14mp5h07	"KEW Terracotta Dish Planter Set"	"Plant Pot"	"Lifestyle & Wellbeing > Wellness & self-care"	"Gift set, general"
2697	cmu3qqwnq06s7tcodil4v3b61	"KEW Terracotta Pot | Medium"	"Plant Pot"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2698	cmu3qqwnp06s5tcodximz1q92	"KEW Terracotta Pot | Petite"	"Plant Pot"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2699	cmu3qqwnq06s9tcod2dh4ll2d	"KEW Terracotta Pot | Large"	"Plant Pot"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2712	cmu3qrqhi06tftcodrqs4s1jo	"Stove Utensil Jar"	"Utensil Jar"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2718	cmu3qrqhl06tptcodiiqpqng8	"Hair Scrunchie | Neutral Tones"	"Hair Scrunchie"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2720	cmu3qrqhn06tttcodfytkwya9	"ITHACA Colander"	"Colander"	"Lifestyle & Wellbeing > Wellness & self-care"	"Gift set, general"
2728	cmu3qrqhx06uptcodnl71hdo9	"Bottle Opener"	"Bottle Opener"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2731	cmu3qrqhw06untcod8022zmf6	"Citrus Press"	"Citrus Press"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2801	cmu3qq4el06kttcodbh8pygel	"Polished Jute Ball | 250g"	"Jute Ball"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2803	cmu3qrqhz06uxtcodupv4i5mm	"Wooden Dish Head | Replacement Head"	"Dish Brush"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2805	cmu3qq4et06lltcod1m24wqa2	"Flax Yarn Holder"	"Flax Yarn Holder"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2807	cmu3qqwn606pttcodxtz1zm1v	"Wooden Spatula"	"Spatula"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2809	cmu3qshm106zftcodbbc1h9hm	"Wooden Dish Drainer"	"Wooden Dish Drainer"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2810	cmu3qrqhs06u9tcod9mok3uqu	"Multi-Purpose Cleaning Cloths"	"Cleaning Cloths"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2813	cmu3qrqhi06tdtcodmci6vdyg	"Marmalade Jar"	"Utensil Jar"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2814	cmu3qrqhg06t3tcodggwn248u	"Wooden Cooking Spoon"	"Spoons"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2815	cmu3qrqhk06tntcodvhlstyq9	"Denim Style Fabric Scrunchie"	"Hair Scrunchie"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
2952	cmu3q8pw60321tcodmuivwcq8	"Vintage Rose Key Strap"	"Miscellanous"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3008	cmu3q4ogo0267tcodaw90qqcr	"Broderie Handkerchief"	"All Products Exc. Food & Drinks"	"Lifestyle & Wellbeing > Wellness & self-care"	"Gift set, general"
3010	cmu3q4ogm025ztcodu1umyfi9	"Sticker Pack"	"All Products Exc. Food & Drinks"	"Lifestyle & Wellbeing > Wellness & self-care"	"Gift set, general"
3019	cmu3q1ej001k5tcodqsk6xx0z	"Vintage Rose Dog Bandana"	"Pet Accessories"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3040	cmu3q0kin01jftcodd4qad5xl	"Vintage Rose Dog Lead"	"Pet Accessories"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3149	cmu3q4ogr026ntcodmi93nzns	"Owala FreeSip 0.45L / 16oz Water Bottle"	"6-8 yrs"	"Lifestyle & Wellbeing > Wellness & self-care"	"Gift set, general"
3327	cmu3q0kin01jhtcodcletub5e	"Vintage Rose Dog Collar"	"Pet Accessories"	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3339	cmu3q7ys102xftcod325up8bp	"Amla Juice"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3354	cmu3q1ejc01lxtcodb7x01nxb	"Multi Mushroom Daily Immune Defense"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3356	cmu3qa7x403c9tcod3f9toedn	"AG1 Travel Packs"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3364	cmu3q7ys202xhtcodosw6jmcw	"Amazfit Amazfit Balance 2"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3365	cmu3q9gwt038btcod0c9oa9wo	"Grass-fed Beef Organs"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3366	cmu3q9gwo037ltcodq6b07f25	"Apollo Neuro Apollo® Wearable + SmartVibes™ AI Membership - Twilight"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3367	cmu3qayvo03gftcodfaci4q2q	"True Biome Jar"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3370	cmu3qayuw03f9tcod5kfiqygs	"Vitamin C+Probiotics"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
