Row	Product ID	Name	Product URL	Description	Current Category	Retailer	Price	Gender	Age Bands
1	cmu3q7yrk02wdtcod7l2xfhov	"Fortnum's Hamper Tote with Waterproof Picnic Blanket"	https://www.fortnumandmason.com/fortnums-hamper-tote-with-waterproof-picnic-blanket	""	"Home & interiors"	"fortnumandmason.com"	188.72	unisex	"EIGHTEEN_TO_30, FIFTY_ONE_PLUS, THIRTY_ONE_TO_50"
2	cmu3q3v0v0253tcody96crp6g	"Birthday Book"	https://www.bokibooks.co.uk/all-books/holidays/birthday	""	"Reading & books"	"bokibooks.co.uk"	5.99	unisex	"Under 5, 5-10"
3	cmu3q5huf02dntcodf405kksk	"Biscuits"	https://www.fortnumandmason.com/biscuits/all-biscuits	"sss"	"Food & Drink"	"fortnumandmason.com"	150	unisex	"EIGHTEEN_TO_30, FIFTY_ONE_PLUS, THIRTY_ONE_TO_50"
4	cmu3q3v0n023ttcodg5fx6hs1	"Dom Perignon 2013"	https://hedonism.co.uk/product/dom-perignon-2013	""	"Fashion & accessories"	"hedonism.co.uk"	170	men	"EIGHTEEN_TO_30, FIFTY_ONE_PLUS, THIRTY_ONE_TO_50"
5	cmu3q3v0j0235tcodn6sxiesy	"Bestsellers"	https://www.papier.com/stationery/bestsellers/	"Our most sought-after stationery. A curated selection of the most-loved Papier pieces for you and your desk. From notecards to planners and journals! Fast delivery, shop now!"	"Reading & books"	"papier.com"	15	unisex	"EIGHTEEN_TO_30, FIFTY_ONE_PLUS, THIRTY_ONE_TO_50"
6	cmu3q3v0k0237tcodpwb0tqvi	"Billy x Cheaney Boots"	https://www.billytannery.co.uk/products/billy-x-cheaney-boots	"Billy deer leather, the iconic Cheaney Brixton silhouette and a Vibram sole. Tough, soft and durable leather boots. Don't miss this limited edition collaboration."	"Fashion & accessories"	"Billy Tannery"	495	men	"EIGHTEEN_TO_30, FIFTY_ONE_PLUS, THIRTY_ONE_TO_50"
7	cmu3q3v0l023htcoduump1j9l	"ENDYMION"	https://www.penhaligons.com/uk/en/p/endymion-eau-de-cologne-30ml--000000000065223848	""	"Home & interiors"	"penhaligons.com"	75	unisex	"EIGHTEEN_TO_30, FIFTY_ONE_PLUS, THIRTY_ONE_TO_50"
8	cmu3q3v0u024vtcodwrie8nf6	"Fortnum's Bardolino Chiaretto Rosé, Casaretti, 75cl"	https://www.fortnumandmason.com/fortnums-bardolino-chiaretto-rose-75cl	""	"Home & interiors"	"fortnumandmason.com"	18.2	unisex	"EIGHTEEN_TO_30, FIFTY_ONE_PLUS, THIRTY_ONE_TO_50"
9	cmu3q3v0n023ptcody4v8eiuo	"THE BLAZING MR SAM 75ML EDP VA"	https://www.penhaligons.com/uk/en/p/the-blazing-mister-sam-eau-de-parfum-75-ml--000000000065173422	""	"UNISEX_ADULT"	"penhaligons.com"	245	unisex	"EIGHTEEN_TO_30, FIFTY_ONE_PLUS, THIRTY_ONE_TO_50"
10	cmu3q3v0u0251tcod2ddd0jbr	"The Cardholder"	https://www.billytannery.co.uk/products/leather-cardholder-wallet	"Our luxury slim card holder is handmade in the UK from sustainable, full grain goat leather. 3 slots fit 6 cards and a few folded notes. Free shipping."	"Fashion & accessories"	"Billy Tannery"	80	men	"EIGHTEEN_TO_30, ELEVEN_TO_17, FIFTY_ONE_PLUS, THIRTY_ONE_TO_50"
11	cmu3q3v0v0255tcodj0vx1p39	"The Rolltop Backpack"	https://www.billytannery.co.uk/products/mens-rolltop-backpack	"A luxury roll top backpack made from premium, sustainable goat and deer leather. Padded back, laptop slot and heavy cotton lining. Made in the Britain. Free shipping."	"Fashion & accessories"	"Billy Tannery"	725	men	"EIGHTEEN_TO_30, FIFTY_ONE_PLUS, THIRTY_ONE_TO_50"
12	cmu3quqgm07h5tcodz6xlhrkb	"Cellular Blanket - Dark Blue"	https://babymori.com/products/mori-cellular-blanket-dark-blue	"Crafted from bamboo and cotton, our cellular blanket is perfect for newborns and babies. The holes allow airflow, making it safe for little ones to use in a cot or pushchair. The fabric blend is highly breathable and helps to regulate a baby's temperature. The blanket is cleverly designed to trap air meaning it stays warm in the winter and cool in the summer. Once your little one has grown out of the blanket, it can also be used as a wearable blanket or cover when it's cold. • Made from 50% cott"	"Fashion & accessories"	"babymori.com"	20	KIDS	"Under 5"
13	cmu3quqgn07h7tcodsltww0gi	"Cellular Blanket - White"	https://babymori.com/products/mori-cellular-blanket-white	"Crafted from bamboo and cotton, our cellular blanket is perfect for newborns and babies. The holes allow airflow, making it safe for little ones to use in a cot or pushchair. The fabric blend is highly breathable and helps to regulate a baby's temperature. The blanket is cleverly designed to trap air meaning it stays warm in the winter and cool in the summer. Once your little one has grown out of the blanket, it can also be used as a wearable blanket or cover when it's cold. • Made from 50% cott"	"Fashion & accessories"	"babymori.com"	20	KIDS	"Under 5"
