"contains_age_restricted_items","gift_page_url","website_url","applies_to","why_it_fits","name","active","category","what_they_sell","id","created_date","updated_date","created_by_id","is_sample"
"false","https://mysteriesintime.com/","https://mysteriesintime.com/","Kids","Monthly time-travel adventure — ages 6–11, educational and fun","mysteriesintime.com","true","Kids","History subscription boxes for children","6a5cf235e67d9df5dc7d5166","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.lovecrafts.com/en-gb","https://www.lovecrafts.com/en-gb","Women","For the woman who knits, sews or makes — premium kits and materials","lovecrafts.com","true","Women","Craft kits, yarn, creative gifts for makers","6a5cf235e67d9df5dc7d516a","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://toppsta.com/","https://toppsta.com/","Kids","Book-of-the-month gifting, age-matched, supports independent authors","toppsta.com","true","Kids","Children's book subscription and gifting","6a5cf235e67d9df5dc7d5165","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.kiwico.com/","https://www.kiwico.com/","Men, Women, Kids","Award-winning, age-specific, delivers to UK — brilliant for curious kids","kiwico.com","true","Unisex + Kids","STEM and creative subscription boxes by age","6a5cf235e67d9df5dc7d5168","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.notonthehighstreet.com/","https://www.notonthehighstreet.com/","Women","Huge range of personalised and handmade gifts — useful catch-all for hard profiles","notonthehighstreet.com","true","Women","Curated independent gifting marketplace","6a5cf235e67d9df5dc7d516c","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.houseofhackney.com/","https://www.houseofhackney.com/","Women","Independent London brand, distinctive aesthetic, strong gifting range","houseofhackney.com","true","Women","Bold British print homewares and lifestyle","6a5cf235e67d9df5dc7d516b","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.mudandbloom.com/","https://www.mudandbloom.com/","Kids","Letterbox-friendly monthly nature activities — ages 3–8, screen-free","mudandbloom.com","true","Kids","Gardening and nature subscription boxes","6a5cf235e67d9df5dc7d5164","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://arcanaliving.com/","https://arcanaliving.com/","Men, Women, Kids","","arcanaliving.com","true","Unisex + Kids","Nature inspired gifts; curiousity club subscription is great for 8-12 year olds","6a5cf235e67d9df5dc7d5167","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.helenround.com/","https://www.helenround.com/","Women","Beautiful hand-made products using ethically sourced materials and traditional techniques, helping people live sustainably.","helenround.com","true","Women","Bespoke hand-embroidered keepsakes","6a5cf235e67d9df5dc7d516d","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.fortnumandmason.com/","https://www.fortnumandmason.com/","Men, Women","Iconic British institution — the gold standard for food gifting","fortnumandmason.com","true","Unisex (Adult)","Food hampers, tea, luxury treats","6a5cf235e67d9df5dc7d516e","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.bakerross.co.uk/craft-kits","https://www.bakerross.co.uk/craft-kits","Kids","Good for younger children and lower budgets — wide range, quality entry point","bakerross.co.uk","true","Kids","Craft kits","6a5cf235e67d9df5dc7d5162","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
