Row,Product ID,Name,Retailer,Product URL,Image URL,Description,Price,Category,Gender,Has Image,Has Description,Description Length
1,cmu5jmk2600wsksb0f0nc5uip,"1990s Vintage Circular Drop Earrings","susancaplan.co.uk",https://susancaplan.co.uk/products/1990s-vintage-gold-plated-drop-post-earrings,,"Source: K",35,"Jewellery",FEMALE,No,No,9
2,cmu5bzmel002bksb0xdphatym,"6 x Lehmann Synergie 60cl Collection Signature P. Jamesse","Sip Champagnes",https://sipchampagnes.com/products/6-x-lehmann-synergie-60cl-collection-signature-p-jamesse?variant=40337805541511&country=GB,,"Source: K",290,"Food & Drink > Wine, beer & drinks",UNISEX,No,No,9
3,cmu5jkjay00joksb0nyoeuiqm,"6 x Lehmann Synergie 60cl Collection Signature P. Jamesse","Sip Champagnes",https://sipchampagnes.com/products/6-x-lehmann-synergie-60cl-collection-signature-p-jamesse?variant=40337805541511&country=GB,,"Source: K",290,"Food & Drink > Wine, beer & drinks",UNISEX,No,No,9
4,cmu5jl9gx00ogksb0cftmapnp,"Accurist Everyday Blue Dial Mens Watch","Goldsmiths",https://www.goldsmiths.co.uk/Accurist-Everyday-Blue-Dial-Mens-Watch-74015/p/17451249,,"Source: K",109,"Home, Style & Objects > Watches",MALE,No,No,9
5,cmu5c0oyx008mksb0q9ljf2bf,"Accurist Everyday Blue Dial Mens Watch","Goldsmiths",https://www.goldsmiths.co.uk/Accurist-Everyday-Blue-Dial-Mens-Watch-74015/p/17451249,,"Source: K",109,"Home, Style & Objects > Watches",MALE,No,No,9
6,cmu5c1u3j00f7ksb04ak0k55d,"Adidas Logo Plaque Shoulder Bag in Black","Farfetch",https://www.farfetch.com/uk/shopping/women/adidas-logo-plaque-shoulder-bag-item-37229084.aspx?ffd=1,,"30 day free returns.
Occasion: Any occasion
Source: M",39,"Home, Style & Objects > Fashion & accessories",FEMALE,No,Yes,53
7,cmu5jm1ow00tkksb0hhm1wjst,"Adidas Logo Plaque Shoulder Bag in Black","Farfetch",https://www.farfetch.com/uk/shopping/women/adidas-logo-plaque-shoulder-bag-item-37229084.aspx?ffd=1,,"30 day free returns.
Occasion: Any occasion
Source: M",39,"Home, Style & Objects > Fashion & accessories",FEMALE,No,Yes,53
8,cmu5jnaty010zksb0w6nozr0t,"Aerobie Pro Ring","Oddballs",https://www.oddballs.co.uk/products/aerobie-pro-ring-13-flying-disc?variant=46318256455984,,"Source: K",12.99,"Children",MALE,No,No,9
9,cmu5jo731013bksb0dbch1pkh,"Aerobie Pro Ring","Oddballs",https://www.oddballs.co.uk/products/aerobie-pro-ring-13-flying-disc?variant=46318256455984,,"Source: K",12.99,"Children",UNISEX,No,No,9
10,cmu5jl2ev00n2ksb0clbv9rac,"Aesop Resurrection Aromatique Hand Wash 500ml","Selfridges",https://www.selfridges.com/GB/en/product/aesop-resurrection-aromatique-hand-wash-500ml_333-3002233-B500BT13,,"Source: K",34,"Lifestyle & Wellbeing > Beauty & Skincare",UNISEX,No,No,9
11,cmu5c0fi6006xksb0yqtgcjct,"Aesop Resurrection Aromatique Hand Wash 500ml","Selfridges",https://www.selfridges.com/GB/en/product/aesop-resurrection-aromatique-hand-wash-500ml_333-3002233-B500BT13,,"Source: K",34,"Lifestyle & Wellbeing > Beauty & Skincare",UNISEX,No,No,9
12,cmu5jl1vd00myksb0f4tkwxp0,"Amethyst Cathedral","Moon and Earth Crystals",https://moonandearthcrystals.shop/products/amethyst-cathedral-1?variant=53617386193243&country=GB&currency=GBP,,"Source: K",365,"Lifestyle & Wellbeing > Spirituality",UNISEX,No,No,9
13,cmu5c0eqk006sksb05joel0je,"Amethyst Cathedral","Moon and Earth Crystals",https://moonandearthcrystals.shop/products/amethyst-cathedral-1?variant=53617386193243&country=GB&currency=GBP,,"Source: K",365,"Lifestyle & Wellbeing > Spirituality",UNISEX,No,No,9
14,cmu5jm6bd00uiksb0u8cn70ok,"Andiamo Badge Holder in Basil Green","Bottega Veneta",https://www.bottegaveneta.com/en-gb/andiamo-badge-holder-basil-861700VCPP23780.html,,"Free express shipping. Also available in black.
Occasion: Any occasion
Source: M",800,"Home, Style & Objects > Fashion & accessories",FEMALE,No,Yes,80
15,cmu5c20rh00geksb08kkpvjl8,"Andiamo Badge Holder in Basil Green","Bottega Veneta",https://www.bottegaveneta.com/en-gb/andiamo-badge-holder-basil-861700VCPP23780.html,,"Free express shipping. Also available in black.
Occasion: Any occasion
Source: M",800,"Home, Style & Objects > Fashion & accessories",FEMALE,No,Yes,80
16,cmu5jnbds0112ksb0azx58w1o,"Anime Pinball","The Range",https://www.therange.co.uk/toys/electric-and-interactive-toys/interactive-toys/anime-pinball,,"Source: K",14.99,"Children",MALE,No,No,9
17,cmu5jn95y010qksb0ds8ehs9v,"Antarctic Animals Science Kit","Lego",https://www.lego.com/en-gb/product/antarctic-animals-science-kit-45201,,"Source: K",44.99,"Children",MALE,No,No,9
18,cmu5bzxr80043ksb0759ji9zm,"Appleton Estate 21 Year Old Rum","Whisky World",https://www.thewhiskyworld.com/appleton-estate-21-year-old-rum-gift-box-p10109/s10156,,"Source: K",99.9,"Food & Drink > Spirits & Cocktails > Rum",UNISEX,No,No,9
19,cmu5jkr6n00l0ksb0ly1fymq3,"Appleton Estate 21 Year Old Rum","Whisky World",https://www.thewhiskyworld.com/appleton-estate-21-year-old-rum-gift-box-p10109/s10156,,"Source: K",99.9,"Food & Drink > Spirits & Cocktails > Rum",UNISEX,No,No,9
20,cmu5c1zqk00g8ksb01e24rmxf,"Ara Leopard Print Tote bag","All Saints",https://www.allsaints.com/women/accessories/ara-leopard-print-tote-bag/W551XE-4125.html,,"popular style. Saturday delivery available, Payment plan options.
Occasion: Any occasion
Source: M",229,"Home, Style & Objects > Fashion & accessories",FEMALE,No,Yes,98
21,cmu5jm5rv00ueksb0o27n3p54,"Ara Leopard Print Tote bag","All Saints",https://www.allsaints.com/women/accessories/ara-leopard-print-tote-bag/W551XE-4125.html,,"popular style. Saturday delivery available, Payment plan options.
Occasion: Any occasion
Source: M",229,"Home, Style & Objects > Fashion & accessories",FEMALE,No,Yes,98
22,cmu5c17gp00boksb07ij4yo03,"ARC multi-tool","Leatherman",https://uk.leatherman.com/products/arc?variant=48845240074561,,"Source: K",260.95,"Home, Style & Objects > DIY and tools",UNISEX,No,No,9
23,cmu5jlmbd00quksb0hu0zz53s,"ARC multi-tool","Leatherman",https://uk.leatherman.com/products/arc?variant=48845240074561,,"Source: K",260.95,"Home, Style & Objects > DIY and tools",UNISEX,No,No,9
